route_short_name,delay_p000,delay_p010,delay_p025,delay_p050,delay_p075,delay_p090,delay_p100,end_delay_p000,end_delay_p010,end_delay_p025,end_delay_p050,end_delay_p075,end_delay_p090,end_delay_p100,num_delays,num_end_delays,route_id,route_long_name,num_stop_times,num_trips
555,-1278.0,-20.0,84.0,237.0,457.0,754.6999999999998,1798.0,-1273.0,-364.3,-170.75,99.0,415.0,720.9,1725.0,8474,232,route_147,Massey University To Highbury,16878,324
560,-731.0,-95.29999999999995,37.0,157.0,317.0,554.0,1719.0,-731.0,-398.70000000000005,-238.5,-72.0,90.0,315.2000000000006,1719.0,5208,254,route_148,Massey University To Glenfield,9490,292
565,-495.0,-23.100000000000023,52.0,141.0,279.0,446.0,1741.0,-495.0,-283.0,-183.5,-35.0,130.75,369.4000000000012,1456.0,5330,402,route_149,Botany Town Centre To Half Moon Bay Via Gossamer Dr,11180,422
575,-775.0,7.0,81.0,203.0,364.0,566.0,1623.0,-775.0,-256.4,-108.0,85.0,224.0,421.0000000000001,1539.0,10138,395,route_150,Middlemore To Half Moon Bay Via Otara And Highbrook,17298,416
580,-1375.0,-127.0,22.0,134.0,283.0,508.0,1784.0,-800.0,-371.09999999999997,-168.5,3.5,186.75,373.3,1616.0,9198,528,route_151,Manukau Station To Howick Via Botany Town Centre,14850,560
589,-543.0,-34.3,73.5,239.0,388.5,526.9000000000002,1757.0,-447.0,-329.0,-264.0,-49.0,171.0,415.80000000000007,879.0,918,45,route_152,Botany Town Centre To Beachlands,1632,88
595,-1038.0,-144.0,9.0,172.0,399.0,655.0,1798.0,-1038.0,-505.5,-286.5,-58.5,223.0,552.7,1143.0,10841,238,route_153,Britomart To Glen Innes Via Panmure,22068,380
605,-860.0,-97.89999999999998,26.0,126.5,267.0,485.9000000000001,1597.0,-860.0,-478.0,-235.0,-4.0,209.5,454.80000000000007,1361.0,3812,223,route_154,Victoria Ave To City Centre,7150,250
606,-493.0,-35.19999999999999,38.5,133.0,253.0,397.0,1023.0,-493.0,-307.5,-123.25,55.5,212.25,334.5,1023.0,2859,156,route_155,Civic Centre To Upland Rd Via Lucerne Rd And Benson Rd,5312,166
625,-1007.0,-179.0,-13.0,101.0,236.0,401.0,1703.0,-943.0,-433.9,-207.5,4.0,196.5,443.90000000000015,1703.0,13806,468,route_156,Glen Innes To Britomart Via St Johns And Khyber Pass Rd,26210,682
632,-332.0,-110.0,-48.75,16.0,82.0,173.0,1234.0,-332.0,-212.3,-151.25,-71.0,107.5,242.0000000000001,762.0,1554,208,route_157,Glen Innes to Stonefields Feeder,2160,240
635,-1061.0,-231.0,6.0,138.0,275.0,411.10000000000036,1667.0,-930.0,-424.8,-222.0,39.0,227.0,483.8000000000002,1161.0,6890,213,route_158,Glen Innes To Britomart Via Grand Dr And Parnell,14372,316
643,-515.0,-109.20000000000002,33.0,164.0,266.0,340.80000000000007,491.0,-515.0,-380.0,-238.25,-216.0,-168.25,-101.5,-50.0,87,6,route_159,Britomart To Upland Rd Via Parnell And Remuera Rd,144,6
645,-1193.0,-220.5,-11.75,133.0,241.5,357.90000000000003,742.0,-1193.0,-596.1999999999999,-168.0,-26.0,98.0,325.00000000000006,742.0,542,23,route_160,Britomart To Glen Innes Via Parnell And Remuera Rd,1230,30
655,-928.0,-109.0,39.5,169.0,325.0,544.0,1765.0,-928.0,-291.0,-128.0,65.0,266.0,513.0,1765.0,8339,261,route_161,Glen Innes To Britomart Via Meadowbank And Parnell,17296,364
685X,-696.0,-253.0,-9.75,132.5,291.0,420.70000000000005,866.0,-603.0,-562.6,-366.0,-135.0,138.0,290.19999999999993,731.0,954,29,route_162,Britomart To Glen Innes Express Via Upland Rd And Tamaki Dr,1920,54
703,-589.0,-107.0,17.0,106.0,238.0,403.0,1772.0,-580.0,-325.0,-177.5,-10.0,162.5,352.0,1411.0,3781,240,route_163,Britomart To Remuera Via Portland Rd,8424,332
715,-747.0,-354.5,-222.25,-55.0,103.25,317.5,1484.0,-424.0,-217.4,-52.0,115.5,379.5,668.2000000000006,1012.0,536,22,route_164,Glen Innes Centre To Britomart Via Orakei,1152,36
715X,-774.0,-312.0,-64.0,56.0,163.0,429.0,662.0,-389.0,-144.19999999999996,63.5,110.0,244.0,423.80000000000007,497.0,197,7,route_165,Glen Innes Express To Britomart,312,12
719,-1041.0,-226.79999999999995,-10.5,158.0,321.0,528.0,1793.0,-852.0,-528.3,-326.0,-105.0,136.0,472.0,1595.0,14243,348,route_166,Sylvia Park to Britomart,33920,494
745,-716.0,-7.0,73.0,182.0,352.0,570.0,1437.0,-576.0,-192.7,-53.5,98.5,302.75,568.0000000000002,1376.0,6678,262,route_167,Panmure To Britomart Via Mission Bay,13986,344
756,-899.0,-183.39999999999998,-31.0,161.0,373.0,589.0,1528.0,-412.0,-85.39999999999996,104.5,218.0,426.5,621.0,1528.0,6737,143,route_168,Panmure To Britomart Via Glen Innes And Mission Bay,17464,296
757,-1187.0,-171.0999999999999,28.0,221.0,414.0,656.0,1785.0,-642.0,-311.79999999999995,-93.0,160.0,450.0,759.7999999999997,1532.0,11520,215,route_169,Britomart to Otahuhu via Glen Innes and Mission Heights,25686,310
767,-945.0,-15.0,79.0,194.0,365.5,602.0,1799.0,-662.0,-209.09999999999997,-99.25,30.5,233.25,482.39999999999986,1658.0,5351,260,route_170,Glendowie South To Britomart Via Tamaki Dr,12068,328
768,-538.0,-112.19999999999999,51.0,135.0,256.25,347.3,408.0,-356.0,-223.6,-25.0,50.0,213.0,278.4,322.0,278,5,route_171,Glendowie To Britomart Via Tamaki Drive,576,12
769,-706.0,-19.0,85.0,203.0,395.0,694.8000000000002,1798.0,-648.0,-194.9,-63.25,77.5,284.0,638.8,1714.0,6833,314,route_172,Glendowie North To Britomart Via Tamaki Dr,16208,432
76X,-1304.0,-267.4,-11.0,143.0,362.0,585.2,1411.0,-1152.0,-980.5,-538.75,-196.0,80.25,348.2000000000004,709.0,1469,58,route_173,Long Bay To City Centre Express,2556,72
770,-669.0,18.0,109.0,225.0,356.0,510.0,1682.0,-669.0,-393.79999999999995,-153.5,-19.5,125.5,421.5,1133.0,2352,104,route_174,Newmarket To St Heliers Via Kohimarama,5442,146
771,-630.0,-26.0,70.0,166.0,360.5,580.4000000000005,1767.0,-630.0,-282.2,-120.0,-6.0,264.0,454.40000000000015,1139.0,2799,117,route_175,St Heliers To Eastridge Via Mission Bay,6670,178
